backend,V,nlev,N_e,cell_dist,layout,schedule,run_id,time_ms
cpu,2,256,163840,uniform,V2,jk_outer,26,0.495543
cpu,2,256,163840,uniform,V2,jk_outer,27,0.396783
cpu,2,256,163840,uniform,V2,jk_outer,28,0.384893
cpu,2,256,163840,uniform,V2,jk_outer,29,0.348592
cpu,2,256,163840,uniform,V2,jk_outer,30,0.354242
cpu,2,256,163840,uniform,V2,jk_outer,31,0.403463
cpu,2,256,163840,uniform,V2,jk_outer,32,0.437293
cpu,2,256,163840,uniform,V2,jk_outer,33,0.388102
cpu,2,256,163840,uniform,V2,jk_outer,34,0.429403
cpu,2,256,163840,uniform,V2,jk_outer,35,0.431972
cpu,2,256,163840,uniform,V2,jk_outer,36,0.520273
cpu,2,256,163840,uniform,V2,jk_outer,37,0.514324
cpu,2,256,163840,uniform,V2,jk_outer,38,0.436003
cpu,2,256,163840,uniform,V2,jk_outer,39,0.373672
cpu,2,256,163840,uniform,V2,jk_outer,40,0.381072
cpu,2,256,163840,uniform,V2,jk_outer,41,0.420843
cpu,2,256,163840,uniform,V2,jk_outer,42,0.415393
cpu,2,256,163840,uniform,V2,jk_outer,43,0.470283
cpu,2,256,163840,uniform,V2,jk_outer,44,0.348892
cpu,2,256,163840,uniform,V2,jk_outer,45,0.343963
cpu,2,256,163840,uniform,V2,jk_outer,46,0.372072
cpu,2,256,163840,uniform,V2,jk_outer,47,0.344853
cpu,2,256,163840,uniform,V2,jk_outer,48,0.345012
cpu,2,256,163840,uniform,V2,jk_outer,49,0.439053
cpu,2,256,163840,uniform,V2,jk_outer,50,0.342402
cpu,2,256,163840,uniform,V2,jk_outer,51,0.342002
cpu,2,256,163840,uniform,V2,jk_outer,52,0.345592
cpu,2,256,163840,uniform,V2,jk_outer,53,0.371613
cpu,2,256,163840,uniform,V2,jk_outer,54,0.342083
cpu,2,256,163840,uniform,V2,jk_outer,55,0.344032
cpu,2,256,163840,uniform,V2,jk_outer,56,0.342912
cpu,2,256,163840,uniform,V2,jk_outer,57,0.378732
cpu,2,256,163840,uniform,V2,jk_outer,58,0.352972
cpu,2,256,163840,uniform,V2,jk_outer,59,0.376283
cpu,2,256,163840,uniform,V2,jk_outer,60,0.383862
cpu,2,256,163840,uniform,V2,jk_outer,61,0.470353
cpu,2,256,163840,uniform,V2,jk_outer,62,0.409323
cpu,2,256,163840,uniform,V2,jk_outer,63,0.369822
cpu,2,256,163840,uniform,V2,jk_outer,64,0.441523
cpu,2,256,163840,uniform,V2,jk_outer,65,0.466953
cpu,2,256,163840,uniform,V2,jk_outer,66,0.402953
cpu,2,256,163840,uniform,V2,jk_outer,67,0.412562
cpu,2,256,163840,uniform,V2,jk_outer,68,0.397853
cpu,2,256,163840,uniform,V2,jk_outer,69,0.495413
cpu,2,256,163840,uniform,V2,jk_outer,70,0.346522
cpu,2,256,163840,uniform,V2,jk_outer,71,0.423863
cpu,2,256,163840,uniform,V2,jk_outer,72,0.543524
cpu,2,256,163840,uniform,V2,jk_outer,73,0.463423
cpu,2,256,163840,uniform,V2,jk_outer,74,0.486414
cpu,2,256,163840,uniform,V2,jk_outer,75,0.353942
cpu,2,256,163840,uniform,V2,jk_outer,76,0.507403
cpu,2,256,163840,uniform,V2,jk_outer,77,0.411953
cpu,2,256,163840,uniform,V2,jk_outer,78,0.346312
cpu,2,256,163840,uniform,V2,jk_outer,79,0.374573
cpu,2,256,163840,uniform,V2,jk_outer,80,0.347012
cpu,2,256,163840,uniform,V2,jk_outer,81,0.532043
cpu,2,256,163840,uniform,V2,jk_outer,82,0.525714
cpu,2,256,163840,uniform,V2,jk_outer,83,0.342922
cpu,2,256,163840,uniform,V2,jk_outer,84,0.509923
cpu,2,256,163840,uniform,V2,jk_outer,85,0.348263
cpu,2,256,163840,uniform,V2,jk_outer,86,0.342662
cpu,2,256,163840,uniform,V2,jk_outer,87,0.346782
cpu,2,256,163840,uniform,V2,jk_outer,88,0.345142
cpu,2,256,163840,uniform,V2,jk_outer,89,0.441533
cpu,2,256,163840,uniform,V2,jk_outer,90,0.427673
cpu,2,256,163840,uniform,V2,jk_outer,91,0.390603
cpu,2,256,163840,uniform,V2,jk_outer,92,0.392653
cpu,2,256,163840,uniform,V2,jk_outer,93,0.475033
cpu,2,256,163840,uniform,V2,jk_outer,94,0.345342
cpu,2,256,163840,uniform,V2,jk_outer,95,0.345902
cpu,2,256,163840,uniform,V2,jk_outer,96,0.381792
cpu,2,256,163840,uniform,V2,jk_outer,97,0.473903
cpu,2,256,163840,uniform,V2,jk_outer,98,0.441432
cpu,2,256,163840,uniform,V2,jk_outer,99,0.428222
cpu,2,256,163840,uniform,V2,collapse2,0,0.473383
cpu,2,256,163840,uniform,V2,collapse2,1,0.466153
cpu,2,256,163840,uniform,V2,collapse2,2,0.464353
cpu,2,256,163840,uniform,V2,collapse2,3,0.463303
cpu,2,256,163840,uniform,V2,collapse2,4,0.463603
cpu,2,256,163840,uniform,V2,collapse2,5,0.466573
cpu,2,256,163840,uniform,V2,collapse2,6,0.465113
cpu,2,256,163840,uniform,V2,collapse2,7,0.467843
cpu,2,256,163840,uniform,V2,collapse2,8,0.466543
cpu,2,256,163840,uniform,V2,collapse2,9,0.484393
cpu,2,256,163840,uniform,V2,collapse2,10,0.465483
cpu,2,256,163840,uniform,V2,collapse2,11,0.467343
cpu,2,256,163840,uniform,V2,collapse2,12,0.655034
cpu,2,256,163840,uniform,V2,collapse2,13,0.461043
cpu,2,256,163840,uniform,V2,collapse2,14,0.465273
cpu,2,256,163840,uniform,V2,collapse2,15,0.607414
cpu,2,256,163840,uniform,V2,collapse2,16,0.473243
cpu,2,256,163840,uniform,V2,collapse2,17,0.471683
cpu,2,256,163840,uniform,V2,collapse2,18,0.464453
cpu,2,256,163840,uniform,V2,collapse2,19,0.473783
cpu,2,256,163840,uniform,V2,collapse2,20,0.503913
cpu,2,256,163840,uniform,V2,collapse2,21,0.467803
cpu,2,256,163840,uniform,V2,collapse2,22,0.468933
cpu,2,256,163840,uniform,V2,collapse2,23,0.467263
cpu,2,256,163840,uniform,V2,collapse2,24,0.466383
cpu,2,256,163840,uniform,V2,collapse2,25,0.468572
cpu,2,256,163840,uniform,V2,collapse2,26,0.468323
cpu,2,256,163840,uniform,V2,collapse2,27,0.468313
cpu,2,256,163840,uniform,V2,collapse2,28,0.468583
cpu,2,256,163840,uniform,V2,collapse2,29,0.469023
cpu,2,256,163840,uniform,V2,collapse2,30,0.527944
cpu,2,256,163840,uniform,V2,collapse2,31,0.464773
cpu,2,256,163840,uniform,V2,collapse2,32,0.502713
cpu,2,256,163840,uniform,V2,collapse2,33,0.467022
cpu,2,256,163840,uniform,V2,collapse2,34,0.477933
cpu,2,256,163840,uniform,V2,collapse2,35,0.468283
cpu,2,256,163840,uniform,V2,collapse2,36,0.466643
cpu,2,256,163840,uniform,V2,collapse2,37,0.485063
cpu,2,256,163840,uniform,V2,collapse2,38,0.488373
cpu,2,256,163840,uniform,V2,collapse2,39,0.486614
cpu,2,256,163840,uniform,V2,collapse2,40,0.494014
cpu,2,256,163840,uniform,V2,collapse2,41,0.518393
cpu,2,256,163840,uniform,V2,collapse2,42,0.556013
cpu,2,256,163840,uniform,V2,collapse2,43,0.534593
cpu,2,256,163840,uniform,V2,collapse2,44,0.577324
cpu,2,256,163840,uniform,V2,collapse2,45,0.506164
cpu,2,256,163840,uniform,V2,collapse2,46,0.492593
cpu,2,256,163840,uniform,V2,collapse2,47,0.605014
cpu,2,256,163840,uniform,V2,collapse2,48,0.491873
cpu,2,256,163840,uniform,V2,collapse2,49,0.490923
cpu,2,256,163840,uniform,V2,collapse2,50,0.469973
cpu,2,256,163840,uniform,V2,collapse2,51,0.476153
