nlev,variant,cell_dist,schedule,target,block_bytes,vector_width,mu,mu_delta,mu_delta_numa,delta_max,delta_min,beta,alpha,gamma,P_NUMA,T
90,3,normal_var1,omp_collapse2,cpu_scalar,64,1,6.923684,383340.534125,431507.345146,128473.054125,65516.226650,1,0.0120,1.8000,4,7372800
90,3,normal_var1,omp_collapse2,cpu_avx512,64,8,52.232650,461169.750235,519077.186539,196204.300087,9954.960963,1,0.0120,1.8000,4,921600
90,3,normal_var1,omp_collapse2,gpu_scalar,128,1,6.611183,191670.240966,242914.822580,66036.355411,37925.324955,1,0.0120,1.8000,4,7372800
90,3,normal_var1,omp_collapse2,gpu_warp32,128,32,198.907895,259162.829453,328223.000391,109230.749700,1651.682649,1,0.0120,1.8000,4,230400
90,3,normal_var1,omp_collapse2,gpu_wave64,128,64,397.749384,342874.659149,433725.313781,110627.572375,1091.907252,1,0.0120,1.8000,4,115200
90,3,normal_var4,omp_collapse2,cpu_scalar,64,1,7.096277,383101.957632,431195.262205,124878.484497,63726.309092,1,0.0120,1.8000,4,7372800
90,3,normal_var4,omp_collapse2,cpu_avx512,64,8,52.070545,460152.979676,517890.349490,196918.280059,9966.608581,1,0.0120,1.8000,4,921600
90,3,normal_var4,omp_collapse2,gpu_scalar,128,1,6.783777,191550.964325,242733.998743,64151.936882,36864.861894,1,0.0120,1.8000,4,7372800
90,3,normal_var4,omp_collapse2,gpu_warp32,128,32,198.246194,258060.841476,326843.636379,109596.038896,1648.356142,1,0.0120,1.8000,4,230400
90,3,normal_var4,omp_collapse2,gpu_wave64,128,64,396.411198,344082.997995,435278.476085,110961.338249,1097.622942,1,0.0120,1.8000,4,115200
90,3,sequential,omp_collapse2,cpu_scalar,64,1,6.624976,384546.619022,432838.546562,133228.803123,68213.702682,1,0.0120,1.8000,4,7372800
90,3,sequential,omp_collapse2,cpu_avx512,64,8,52.998340,461826.844185,519803.417319,193389.161671,9820.950824,1,0.0120,1.8000,4,921600
90,3,sequential,omp_collapse2,gpu_scalar,128,1,6.312476,192273.309409,243661.463740,68503.225718,39498.433866,1,0.0120,1.8000,4,7372800
90,3,sequential,omp_collapse2,gpu_warp32,128,32,201.962565,259986.908403,329274.462590,107543.687687,1631.331602,1,0.0120,1.8000,4,230400
90,3,sequential,omp_collapse2,gpu_wave64,128,64,403.862630,344156.698160,435334.561590,108904.301394,1078.835895,1,0.0120,1.8000,4,115200
90,4,uniform,omp_for,cpu_scalar,64,1,0.915274,8536.482541,13652.472736,89051.802446,2945.774631,1,0.0120,1.8000,4,7372800
90,4,uniform,omp_for,cpu_avx512,64,8,7.397657,122204.177269,195426.888384,183725.619850,17541.176530,1,0.0120,1.8000,4,901120
90,4,uniform,omp_for,gpu_scalar,128,1,0.479835,4268.241310,6826.236415,30416.958978,1589.597014,1,0.0120,1.8000,4,7372800
90,4,uniform,omp_for,gpu_warp32,128,32,17.218909,552134.794202,883012.470388,103377.234286,43269.364797,1,0.0120,1.8000,4,163840
90,4,uniform,omp_for,gpu_wave64,128,64,34.437622,1872457.495190,2994602.233423,119614.856204,87005.599779,1,0.0120,1.8000,4,81920
90,4,normal_var1,omp_for,cpu_scalar,64,1,0.895210,4259.234472,6811.494895,45060.156116,1776.910020,1,0.0120,1.8000,4,7372800
90,4,normal_var1,omp_for,cpu_avx512,64,8,7.251012,61017.355101,97589.244647,94153.795519,9230.098163,1,0.0120,1.8000,4,901120
90,4,normal_var1,omp_for,gpu_scalar,128,1,0.465594,2129.616964,3405.747159,15767.644715,995.801662,1,0.0120,1.8000,4,7372800
90,4,normal_var1,omp_for,gpu_warp32,128,32,16.693811,275530.210596,440626.613623,53513.018126,22562.121045,1,0.0120,1.8000,4,163840
90,4,normal_var1,omp_for,gpu_wave64,128,64,31.019751,934306.687549,1494178.039033,67158.792642,48685.645986,1,0.0120,1.8000,4,81920
90,4,normal_var4,omp_for,cpu_scalar,64,1,0.896909,4256.612432,6812.486655,45034.403280,1688.148886,1,0.0120,1.8000,4,7372800
90,4,normal_var4,omp_for,cpu_avx512,64,8,7.259949,60956.878822,97580.344977,93850.642005,9137.452222,1,0.0120,1.8000,4,901120
90,4,normal_var4,omp_for,gpu_scalar,128,1,0.467655,2128.306035,3406.243127,15524.438845,932.821607,1,0.0120,1.8000,4,7372800
90,4,normal_var4,omp_for,gpu_warp32,128,32,16.766290,275359.609393,440734.124256,53203.354586,22402.156341,1,0.0120,1.8000,4,163840
90,4,normal_var4,omp_for,gpu_wave64,128,64,31.859924,933726.851807,1494479.645752,65230.400334,47358.759755,1,0.0120,1.8000,4,81920
90,4,sequential,omp_for,cpu_scalar,64,1,0.773611,4272.560731,6833.141075,49309.355951,2535.949048,1,0.0120,1.8000,4,7372800
90,4,sequential,omp_for,cpu_avx512,64,8,6.284090,61177.054482,97843.118135,108146.746238,11104.029221,1,0.0120,1.8000,4,901120
90,4,sequential,omp_for,gpu_scalar,128,1,0.397917,2136.280380,3416.570570,16934.282372,1488.460478,1,0.0120,1.8000,4,7372800
90,4,sequential,omp_for,gpu_warp32,128,32,14.781244,276384.432837,442067.470107,60171.782485,25206.775605,1,0.0120,1.8000,4,163840
90,4,sequential,omp_for,gpu_wave64,128,64,29.562390,937241.224573,1499034.720911,69690.481802,50729.093421,1,0.0120,1.8000,4,81920
90,4,uniform,omp_collapse2,cpu_scalar,64,1,7.624927,768308.553226,864771.214198,228692.247289,117069.835712,1,0.0120,1.8000,4,7372800
90,4,uniform,omp_collapse2,cpu_avx512,64,8,60.992969,919666.799258,1035054.256708,334878.028953,16970.007438,1,0.0120,1.8000,4,921600
90,4,uniform,omp_collapse2,gpu_scalar,128,1,7.312427,384154.276482,486818.145853,117509.847918,67738.932654,1,0.0120,1.8000,4,7372800
90,4,uniform,omp_collapse2,gpu_warp32,128,32,233.891797,485711.457990,615268.729442,185263.501412,2630.533199,1,0.0120,1.8000,4,230400
90,4,uniform,omp_collapse2,gpu_wave64,128,64,467.560156,564913.972786,715180.443439,187250.243838,1529.437796,1,0.0120,1.8000,4,115200
90,4,normal_var1,omp_collapse2,cpu_scalar,64,1,6.923684,383340.656347,431507.540702,128062.408062,65358.540600,1,0.0120,1.8000,4,7372800
90,4,normal_var1,omp_collapse2,cpu_avx512,64,8,52.232650,461170.728013,519078.750989,195727.820300,9942.541454,1,0.0120,1.8000,4,921600
90,4,normal_var1,omp_collapse2,gpu_scalar,128,1,6.611183,191670.302078,242914.920358,65933.995232,37880.515490,1,0.0120,1.8000,4,7372800
90,4,normal_var1,omp_collapse2,gpu_warp32,128,32,198.907895,259170.691502,328235.579668,109179.346063,1651.746562,1,0.0120,1.8000,4,230400
90,4,normal_var1,omp_collapse2,gpu_wave64,128,64,397.749384,342906.088872,433775.601337,110576.242622,1092.034310,1,0.0120,1.8000,4,115200
90,4,normal_var4,omp_collapse2,cpu_scalar,64,1,7.096277,383102.079854,431195.457762,124486.163433,63577.506875,1,0.0120,1.8000,4,7372800
90,4,normal_var4,omp_collapse2,cpu_avx512,64,8,52.070545,460153.957453,517891.913939,196436.748590,9952.974799,1,0.0120,1.8000,4,921600
90,4,normal_var4,omp_collapse2,gpu_scalar,128,1,6.783777,191551.025436,242734.096522,64053.754929,36821.923174,1,0.0120,1.8000,4,7372800
90,4,normal_var4,omp_collapse2,gpu_warp32,128,32,198.246194,258068.703524,326856.215656,109544.462322,1648.419388,1,0.0120,1.8000,4,230400
90,4,normal_var4,omp_collapse2,gpu_wave64,128,64,396.411198,344114.427717,435328.763641,110909.834530,1097.749617,1,0.0120,1.8000,4,115200
90,4,sequential,omp_collapse2,cpu_scalar,64,1,6.624976,384546.741244,432838.742118,132804.449654,68048.834040,1,0.0120,1.8000,4,7372800
90,4,sequential,omp_collapse2,cpu_avx512,64,8,52.998340,461827.821963,519804.981768,192924.903416,9807.907430,1,0.0120,1.8000,4,921600
90,4,sequential,omp_collapse2,gpu_scalar,128,1,6.312476,192273.370520,243661.561519,68398.338099,39454.680105,1,0.0120,1.8000,4,7372800
90,4,sequential,omp_collapse2,gpu_warp32,128,32,201.962565,259994.770451,329287.041868,107493.064860,1631.394314,1,0.0120,1.8000,4,230400
90,4,sequential,omp_collapse2,gpu_wave64,128,64,403.862630,344188.127882,435384.849146,108853.750106,1078.960813,1,0.0120,1.8000,4,115200
90,1,exact,omp_for,cpu_scalar,64,1,1.802433,51.172508,51.834002,248.031681,39.129544,1,0.0120,1.8000,4,11059200
90,1,exact,omp_for,cpu_avx512,64,8,10.509440,155.428210,160.720165,1297.179690,14.481400,1,0.0120,1.8000,4,1382400
90,1,exact,omp_for,gpu_scalar,128,1,1.011410,25.545269,25.875992,76.867057,21.440519,1,0.0120,1.8000,4,11059200
90,1,exact,omp_for,gpu_warp32,128,32,20.005208,179.036890,194.855808,813.911738,9.067298,1,0.0120,1.8000,4,345600
90,1,exact,omp_for,gpu_wave64,128,64,39.207813,381.323597,438.582332,835.170991,10.831777,1,0.0120,1.8000,4,172800
90,1,exact,omp_collapse2,cpu_scalar,64,1,1.802434,51.187812,52.067233,248.032796,39.288646,1,0.0120,1.8000,4,11059200
90,1,exact,omp_collapse2,cpu_avx512,64,8,10.509447,155.580527,161.739361,1297.188214,14.565697,1,0.0120,1.8000,4,1382400
90,1,exact,omp_collapse2,gpu_scalar,128,1,1.011410,25.552920,25.992400,76.867589,21.525968,1,0.0120,1.8000,4,11059200
90,1,exact,omp_collapse2,gpu_warp32,128,32,20.005231,179.540550,196.396080,813.930786,9.134665,1,0.0120,1.8000,4,345600
90,1,exact,omp_collapse2,gpu_wave64,128,64,39.207882,383.013669,442.336132,835.209096,10.921241,1,0.0120,1.8000,4,172800
90,2,exact,omp_for,cpu_scalar,64,1,1.802433,51.291944,52.025074,66.619506,39.124636,1,0.0120,1.8000,4,11059200
90,2,exact,omp_for,cpu_avx512,64,8,10.509440,156.383697,162.248740,48.381338,13.899213,1,0.0120,1.8000,4,1382400
90,2,exact,omp_for,gpu_scalar,128,1,1.011410,25.604987,25.971528,30.746415,21.455863,1,0.0120,1.8000,4,11059200
90,2,exact,omp_for,gpu_warp32,128,32,20.005208,186.766800,207.222423,40.787730,9.595184,1,0.0120,1.8000,4,345600
