nlev,variant,blocking,cell_dist,schedule,target,block_bytes,vector_width,mu,delta,delta_numa,delta_max,mu_delta,mu_delta_numa,l1_ratio,beta,alpha,gamma,P_NUMA,T
90,3,0,sequential,omp_for,gpu_scalar,128,1,0.397917,931.212423,1489.292831,16935.780978,370.545117,592.615724,0.000000,1,0.0120,1.8000,4,7372800
90,3,0,sequential,omp_collapse2,cpu_avx512,64,8,52.998340,8725.561743,9820.950827,193389.161671,462440.286582,520494.089540,0.000000,1,0.0120,1.8000,4,921600
90,4,0,normal_var1,omp_for,gpu_scalar,128,1,0.465594,622.711871,995.801662,15767.644715,289.930463,463.637919,0.000000,1,0.0120,1.8000,4,7372800
90,4,0,normal_var1,omp_collapse2,cpu_scalar,64,1,6.923684,58063.888843,65358.540600,128062.408062,402015.999441,452521.860548,0.000000,1,0.0120,1.8000,4,7372800
90,4,0,exact,omp_collapse2,gpu_warp32,128,32,146.230312,375.506396,474.840831,4459.164955,54910.417538,69436.123368,0.000000,1,0.0120,1.8000,4,345600
90,1,0,sequential,omp_for,cpu_avx512,64,8,24.969531,205.865095,206.063998,4948.660303,5140.354928,5145.321437,0.000000,1,0.0120,1.8000,4,921600
90,1,0,exact,omp_for,cpu_avx512,64,8,10.509440,14.057344,14.481401,1297.179690,147.734811,152.191414,0.000000,1,0.0120,1.8000,4,1382400
90,1,0,normal_var4,omp_collapse2,cpu_avx512,64,8,24.966020,205.211030,207.229745,4949.021275,5123.302680,5173.701944,0.000000,1,0.0120,1.8000,4,921600
90,1,0,exact,omp_collapse2,gpu_scalar,128,1,1.011410,21.408660,21.525968,76.867589,21.652926,21.771578,0.000000,1,0.0120,1.8000,4,11059200
90,2,0,uniform,omp_collapse2,cpu_avx512,64,8,39.927930,255.558335,257.974282,5671.886602,10203.915216,10300.378976,0.000000,1,0.0120,1.8000,4,921600
90,2,0,sequential,omp_collapse2,gpu_scalar,128,1,2.561829,992.661070,1001.515672,2180.118324,2543.027803,2565.711776,0.000000,1,0.0120,1.8000,4,7372800
90,3,0,normal_var4,omp_for,gpu_warp32,128,32,16.766290,14002.678513,22413.351766,53225.692977,234773.166300,375791.141439,0.000000,1,0.0120,1.8000,4,163840
90,3,0,uniform,omp_collapse2,cpu_scalar,64,1,7.624927,104250.971126,117340.150118,229294.292629,794906.019268,894710.050406,0.000000,1,0.0120,1.8000,4,7372800
90,3,0,sequential,omp_collapse2,gpu_scalar,128,1,6.312476,31168.243122,39498.433866,68503.225718,196748.773766,249332.899463,0.000000,1,0.0120,1.8000,4,7372800
90,4,0,normal_var4,omp_for,gpu_warp32,128,32,16.766290,13995.697039,22402.156346,53203.354586,234656.112014,375603.431307,0.000000,1,0.0120,1.8000,4,163840
90,4,0,exact,omp_for,gpu_scalar,128,1,0.464488,10.186586,13.683179,325.711324,4.731478,6.355590,0.000000,1,0.0120,1.8000,4,11059200
90,4,0,exact,omp_collapse2,cpu_scalar,64,1,6.097404,729.890703,819.692900,2034.222275,4450.438637,4997.999500,0.000000,1,0.0120,1.8000,4,11059200
90,1,0,normal_var4,omp_for,gpu_warp32,128,32,80.856641,32.602736,32.794663,3052.679242,2636.147731,2651.666243,0.000000,1,0.0120,1.8000,4,230400
90,1,0,normal_var1,omp_collapse2,gpu_scalar,128,1,2.584815,989.020468,997.830863,2206.443162,2556.434668,2579.207907,0.000000,1,0.0120,1.8000,4,7372800
90,1,0,exact,omp_collapse2,gpu_warp32,128,32,20.005231,8.373708,9.134669,813.930786,167.517968,182.741212,0.000000,1,0.0120,1.8000,4,345600
90,2,0,normal_var4,omp_for,gpu_scalar,128,1,2.632434,971.903058,971.936096,2141.940088,2558.470734,2558.557705,0.000000,1,0.0120,1.8000,4,7372800
90,2,0,normal_var1,omp_collapse2,gpu_scalar,128,1,2.584815,988.509871,997.321063,2179.311391,2555.114869,2577.890168,0.000000,1,0.0120,1.8000,4,7372800
90,3,0,uniform,omp_for,cpu_avx512,64,8,7.397657,10988.605055,17572.180668,183773.873668,81289.940271,129992.868749,0.000000,1,0.0120,1.8000,4,901120
90,3,0,normal_var4,omp_for,cpu_scalar,64,1,0.896909,1056.283393,1690.478906,45038.676700,947.390620,1516.214685,0.000000,1,0.0120,1.8000,4,7372800
90,3,0,normal_var4,omp_collapse2,gpu_scalar,128,1,6.783777,29091.204116,36864.861895,64151.936882,197348.237004,250082.995458,0.000000,1,0.0120,1.8000,4,7372800
90,4,0,normal_var1,omp_for,cpu_avx512,64,8,7.251012,5772.284993,9230.098164,94153.795519,41854.891303,66927.504534,0.000000,1,0.0120,1.8000,4,901120
90,4,0,normal_var4,omp_for,cpu_avx512,64,8,7.259949,5708.017899,9137.452222,93850.642005,41439.932618,66337.865968,0.000000,1,0.0120,1.8000,4,901120
90,4,0,sequential,omp_for,gpu_warp32,128,32,14.781244,15759.826141,25206.775610,60171.782485,232949.823584,372587.740949,0.000000,1,0.0120,1.8000,4,163840
90,4,0,uniform,omp_collapse2,cpu_avx512,64,8,60.992969,15078.198227,16970.007441,334878.028953,919664.073297,1035051.133585,0.000000,1,0.0120,1.8000,4,921600
90,4,0,exact,omp_collapse2,cpu_avx512,64,8,40.891547,484.603021,546.321070,4831.517154,19816.166940,22339.914268,0.000000,1,0.0120,1.8000,4,1382400
90,1,0,normal_var4,omp_for,gpu_scalar,128,1,2.632434,972.403141,972.430738,2168.927686,2559.787170,2559.859817,0.000000,1,0.0120,1.8000,4,7372800
90,1,0,uniform,omp_collapse2,cpu_avx512,64,8,39.927930,256.121749,258.523547,5930.285169,10226.411169,10322.310015,0.000000,1,0.0120,1.8000,4,921600
90,1,0,sequential,omp_collapse2,gpu_warp32,128,32,80.851189,32.870739,33.357708,3052.360001,2657.638308,2697.010396,0.000000,1,0.0120,1.8000,4,230400
90,2,0,sequential,omp_for,cpu_scalar,64,1,3.124744,1834.837976,1834.908031,4028.743289,5733.398318,5733.617222,0.000000,1,0.0120,1.8000,4,7372800
90,2,0,normal_var4,omp_collapse2,cpu_scalar,64,1,3.267627,1757.686786,1773.360425,3872.995303,5743.465195,5794.680804,0.000000,1,0.0120,1.8000,4,7372800
90,3,0,uniform,omp_for,gpu_warp32,128,32,17.218909,27068.932104,43289.292199,103412.530671,466097.580013,745393.735722,0.000000,1,0.0120,1.8000,4,163840
90,3,0,normal_var4,omp_for,gpu_scalar,128,1,0.467655,583.153074,933.412252,15525.518933,272.714863,436.519601,0.000000,1,0.0120,1.8000,4,7372800
90,3,0,normal_var4,omp_collapse2,cpu_scalar,64,1,7.096277,56618.203963,63726.309093,124878.484497,401778.450036,452219.531540,0.000000,1,0.0120,1.8000,4,7372800
90,4,0,uniform,omp_for,cpu_avx512,64,8,7.397657,10969.001069,17541.176531,183725.619850,81144.916610,129763.511023,0.000000,1,0.0120,1.8000,4,901120
90,4,0,normal_var4,omp_for,cpu_scalar,64,1,0.896909,1054.847772,1688.148886,45034.403280,946.103012,1514.124871,0.000000,1,0.0120,1.8000,4,7372800
90,4,0,uniform,omp_collapse2,gpu_warp32,128,32,233.891797,2076.620618,2630.533212,185263.501412,485704.527804,615260.139473,0.000000,1,0.0120,1.8000,4,230400
90,1,0,sequential,omp_for,gpu_warp32,128,32,80.851172,32.848824,33.041903,3052.327809,2655.865918,2671.476555,0.000000,1,0.0120,1.8000,4,230400
90,1,0,normal_var1,omp_collapse2,cpu_avx512,64,8,24.962016,205.683227,207.710827,4948.235608,5134.268015,5184.881006,0.000000,1,0.0120,1.8000,4,921600
90,1,0,sequential,omp_collapse2,gpu_scalar,128,1,2.561829,993.171553,1002.024525,2207.964133,2544.335572,2567.015372,0.000000,1,0.0120,1.8000,4,7372800
90,2,0,normal_var4,omp_for,gpu_warp32,128,32,80.856641,32.695672,32.943345,2926.202999,2643.662190,2663.688184,0.000000,1,0.0120,1.8000,4,230400
90,2,0,normal_var4,omp_collapse2,gpu_scalar,128,1,2.632434,971.903961,980.573982,2141.941274,2558.473374,2581.296636,0.000000,1,0.0120,1.8000,4,7372800
90,3,0,normal_var1,omp_for,cpu_scalar,64,1,0.895210,1112.795995,1779.300860,45064.581752,996.184844,1592.844879,0.000000,1,0.0120,1.8000,4,7372800
