backend,variant,nlev,N_e,N_c,N_v,cell_dist,config_label,TX,TY,BX,BY,run_id,time_ms
gpu,1,96,122880,81920,81920,exact,2x1_128x1,2,1,128,1,1,0.265442
gpu,1,96,122880,81920,81920,exact,2x1_128x1,2,1,128,1,2,0.262281
gpu,1,96,122880,81920,81920,exact,2x1_128x1,2,1,128,1,3,0.324042
gpu,1,96,122880,81920,81920,exact,2x1_128x1,2,1,128,1,4,0.327281
gpu,1,96,122880,81920,81920,exact,2x1_128x1,2,1,128,1,5,0.262241
gpu,1,96,122880,81920,81920,exact,2x1_128x1,2,1,128,1,6,0.319921
gpu,1,96,122880,81920,81920,exact,2x1_128x1,2,1,128,1,7,0.326802
gpu,1,96,122880,81920,81920,exact,2x1_128x1,2,1,128,1,8,0.320041
gpu,1,96,122880,81920,81920,exact,2x1_128x1,2,1,128,1,9,0.261442
gpu,1,96,122880,81920,81920,exact,2x1_128x1,2,1,128,1,10,0.321481
gpu,1,96,122880,81920,81920,exact,2x1_128x1,2,1,128,1,11,0.326282
gpu,1,96,122880,81920,81920,exact,2x1_128x1,2,1,128,1,12,0.260721
gpu,1,96,122880,81920,81920,exact,2x1_128x1,2,1,128,1,13,0.262682
gpu,1,96,122880,81920,81920,exact,2x1_128x1,2,1,128,1,14,0.261801
gpu,1,96,122880,81920,81920,exact,2x1_128x1,2,1,128,1,15,0.262242
gpu,1,96,122880,81920,81920,exact,2x1_128x1,2,1,128,1,16,0.262001
gpu,1,96,122880,81920,81920,exact,2x1_128x1,2,1,128,1,17,0.263002
gpu,1,96,122880,81920,81920,exact,2x1_128x1,2,1,128,1,18,0.327761
gpu,1,96,122880,81920,81920,exact,2x1_128x1,2,1,128,1,19,0.322682
gpu,1,96,122880,81920,81920,exact,2x1_128x1,2,1,128,1,20,0.261321
gpu,1,96,122880,81920,81920,exact,2x1_128x1,2,1,128,1,21,0.325002
gpu,1,96,122880,81920,81920,exact,2x1_128x1,2,1,128,1,22,0.327801
gpu,1,96,122880,81920,81920,exact,2x1_128x1,2,1,128,1,23,0.264162
gpu,1,96,122880,81920,81920,exact,2x1_128x1,2,1,128,1,24,0.323201
gpu,1,96,122880,81920,81920,exact,2x1_128x1,2,1,128,1,25,0.326002
gpu,1,96,122880,81920,81920,exact,2x1_128x1,2,1,128,1,26,0.328801
gpu,1,96,122880,81920,81920,exact,2x1_128x1,2,1,128,1,27,0.262281
gpu,1,96,122880,81920,81920,exact,2x1_128x1,2,1,128,1,28,0.263441
gpu,1,96,122880,81920,81920,exact,2x1_128x1,2,1,128,1,29,0.264282
gpu,1,96,122880,81920,81920,exact,2x1_128x1,2,1,128,1,30,0.262001
gpu,1,96,122880,81920,81920,exact,2x1_128x1,2,1,128,1,31,0.324442
gpu,1,96,122880,81920,81920,exact,2x1_128x1,2,1,128,1,32,0.325601
gpu,1,96,122880,81920,81920,exact,2x1_128x1,2,1,128,1,33,0.328002
gpu,1,96,122880,81920,81920,exact,2x1_128x1,2,1,128,1,34,0.323521
gpu,1,96,122880,81920,81920,exact,2x1_128x1,2,1,128,1,35,0.263402
gpu,1,96,122880,81920,81920,exact,2x1_128x1,2,1,128,1,36,0.261921
gpu,1,96,122880,81920,81920,exact,2x1_128x1,2,1,128,1,37,0.321602
gpu,1,96,122880,81920,81920,exact,2x1_128x1,2,1,128,1,38,0.260961
gpu,1,96,122880,81920,81920,exact,2x1_128x1,2,1,128,1,39,0.262562
gpu,1,96,122880,81920,81920,exact,2x1_128x1,2,1,128,1,40,0.326041
gpu,1,96,122880,81920,81920,exact,2x1_128x1,2,1,128,1,41,0.261362
gpu,1,96,122880,81920,81920,exact,2x1_128x1,2,1,128,1,42,0.263081
gpu,1,96,122880,81920,81920,exact,2x1_128x1,2,1,128,1,43,0.264082
gpu,1,96,122880,81920,81920,exact,2x1_128x1,2,1,128,1,44,0.326561
gpu,1,96,122880,81920,81920,exact,2x1_128x1,2,1,128,1,45,0.264202
gpu,1,96,122880,81920,81920,exact,2x1_128x1,2,1,128,1,46,0.263321
gpu,1,96,122880,81920,81920,exact,2x1_128x1,2,1,128,1,47,0.263442
gpu,1,96,122880,81920,81920,exact,2x1_128x1,2,1,128,1,48,0.263161
gpu,1,96,122880,81920,81920,exact,2x1_128x1,2,1,128,1,49,0.263882
gpu,1,96,122880,81920,81920,exact,2x1_128x1,2,1,128,1,50,0.322241
gpu,1,96,122880,81920,81920,exact,2x1_128x1,2,1,128,1,51,0.263001
gpu,1,96,122880,81920,81920,exact,2x1_128x1,2,1,128,1,52,0.262241
gpu,1,96,122880,81920,81920,exact,2x1_128x1,2,1,128,1,53,0.263202
gpu,1,96,122880,81920,81920,exact,2x1_128x1,2,1,128,1,54,0.263041
gpu,1,96,122880,81920,81920,exact,2x1_128x1,2,1,128,1,55,0.326002
gpu,1,96,122880,81920,81920,exact,2x1_128x1,2,1,128,1,56,0.260801
gpu,1,96,122880,81920,81920,exact,2x1_128x1,2,1,128,1,57,0.263241
gpu,1,96,122880,81920,81920,exact,2x1_128x1,2,1,128,1,58,0.263481
gpu,1,96,122880,81920,81920,exact,2x1_128x1,2,1,128,1,59,0.324162
gpu,1,96,122880,81920,81920,exact,2x1_128x1,2,1,128,1,60,0.261281
gpu,1,96,122880,81920,81920,exact,2x1_128x1,2,1,128,1,61,0.323162
gpu,1,96,122880,81920,81920,exact,2x1_128x1,2,1,128,1,62,0.322321
gpu,1,96,122880,81920,81920,exact,2x1_128x1,2,1,128,1,63,0.261922
gpu,1,96,122880,81920,81920,exact,2x1_128x1,2,1,128,1,64,0.262361
gpu,1,96,122880,81920,81920,exact,2x1_128x1,2,1,128,1,65,0.322882
gpu,1,96,122880,81920,81920,exact,2x1_128x1,2,1,128,1,66,0.263321
