variant,M,N,tile,nthreads,rep,time_s,bw_gbs,checksum,status
row_major,16384,16384,0,96,74,0.145334618,59.105,2.681670e+09,PASS
row_major,16384,16384,0,96,75,0.145295967,59.120,2.681670e+09,PASS
row_major,16384,16384,0,96,76,0.145106104,59.198,2.681670e+09,PASS
row_major,16384,16384,0,96,77,0.145095676,59.202,2.681670e+09,PASS
row_major,16384,16384,0,96,78,0.145555889,59.015,2.681670e+09,PASS
row_major,16384,16384,0,96,79,0.145108286,59.197,2.681670e+09,PASS
row_major,16384,16384,0,96,80,0.144983985,59.247,2.681670e+09,PASS
row_major,16384,16384,0,96,81,0.145391007,59.082,2.681670e+09,PASS
row_major,16384,16384,0,96,82,0.144460991,59.462,2.681670e+09,PASS
row_major,16384,16384,0,96,83,0.145011103,59.236,2.681670e+09,PASS
row_major,16384,16384,0,96,84,0.144940435,59.265,2.681670e+09,PASS
row_major,16384,16384,0,96,85,0.145257757,59.136,2.681670e+09,PASS
row_major,16384,16384,0,96,86,0.145078326,59.209,2.681670e+09,PASS
row_major,16384,16384,0,96,87,0.144971675,59.253,2.681670e+09,PASS
row_major,16384,16384,0,96,88,0.145144656,59.182,2.681670e+09,PASS
row_major,16384,16384,0,96,89,0.145073566,59.211,2.681670e+09,PASS
row_major,16384,16384,0,96,90,0.145218294,59.152,2.681670e+09,PASS
row_major,16384,16384,0,96,91,0.144928384,59.270,2.681670e+09,PASS
row_major,16384,16384,0,96,92,0.144919564,59.274,2.681670e+09,PASS
row_major,16384,16384,0,96,93,0.145182077,59.167,2.681670e+09,PASS
row_major,16384,16384,0,96,94,0.145565109,59.011,2.681670e+09,PASS
row_major,16384,16384,0,96,95,0.145235627,59.145,2.681670e+09,PASS
row_major,16384,16384,0,96,96,0.144960985,59.257,2.681670e+09,PASS
row_major,16384,16384,0,96,97,0.144962993,59.256,2.681670e+09,PASS
row_major,16384,16384,0,96,98,0.145003215,59.240,2.681670e+09,PASS
row_major,16384,16384,0,96,99,0.145330307,59.106,2.681670e+09,PASS
col_major,16384,16384,0,96,0,0.220241019,39.002,2.681670e+09,PASS
col_major,16384,16384,0,96,1,0.231992535,37.027,2.681670e+09,PASS
col_major,16384,16384,0,96,2,0.272239096,31.553,2.681670e+09,PASS
col_major,16384,16384,0,96,3,0.217029571,39.580,2.681670e+09,PASS
col_major,16384,16384,0,96,4,0.230737069,37.228,2.681670e+09,PASS
col_major,16384,16384,0,96,5,0.271982044,31.583,2.681670e+09,PASS
col_major,16384,16384,0,96,6,0.232434788,36.956,2.681670e+09,PASS
col_major,16384,16384,0,96,7,0.226740602,37.884,2.681670e+09,PASS
col_major,16384,16384,0,96,8,0.235023155,36.549,2.681670e+09,PASS
col_major,16384,16384,0,96,9,0.237437930,36.178,2.681670e+09,PASS
col_major,16384,16384,0,96,10,0.224590209,38.247,2.681670e+09,PASS
col_major,16384,16384,0,96,11,0.238931000,35.952,2.681670e+09,PASS
col_major,16384,16384,0,96,12,0.222950987,38.528,2.681670e+09,PASS
col_major,16384,16384,0,96,13,0.235203697,36.521,2.681670e+09,PASS
col_major,16384,16384,0,96,14,0.229922574,37.360,2.681670e+09,PASS
col_major,16384,16384,0,96,15,0.240211031,35.760,2.681670e+09,PASS
col_major,16384,16384,0,96,16,0.221668669,38.751,2.681670e+09,PASS
col_major,16384,16384,0,96,17,0.223595581,38.417,2.681670e+09,PASS
col_major,16384,16384,0,96,18,0.242610394,35.406,2.681670e+09,PASS
col_major,16384,16384,0,96,19,0.226384921,37.944,2.681670e+09,PASS
col_major,16384,16384,0,96,20,0.240032517,35.787,2.681670e+09,PASS
col_major,16384,16384,0,96,21,0.253121822,33.936,2.681670e+09,PASS
col_major,16384,16384,0,96,22,0.227926449,37.687,2.681670e+09,PASS
col_major,16384,16384,0,96,23,0.236736166,36.285,2.681670e+09,PASS
col_major,16384,16384,0,96,24,0.232489098,36.948,2.681670e+09,PASS
col_major,16384,16384,0,96,25,0.225765727,38.048,2.681670e+09,PASS
col_major,16384,16384,0,96,26,0.251973564,34.091,2.681670e+09,PASS
col_major,16384,16384,0,96,27,0.238223566,36.058,2.681670e+09,PASS
col_major,16384,16384,0,96,28,0.233359244,36.810,2.681670e+09,PASS
col_major,16384,16384,0,96,29,0.230852078,37.210,2.681670e+09,PASS
col_major,16384,16384,0,96,30,0.252004555,34.086,2.681670e+09,PASS
col_major,16384,16384,0,96,31,0.232781153,36.901,2.681670e+09,PASS
col_major,16384,16384,0,96,32,0.220853085,38.894,2.681670e+09,PASS
col_major,16384,16384,0,96,33,0.272297546,31.546,2.681670e+09,PASS
col_major,16384,16384,0,96,34,0.227771768,37.713,2.681670e+09,PASS
col_major,16384,16384,0,96,35,0.233210784,36.833,2.681670e+09,PASS
