nlev,variant,blocking,tile_y,cell_dist,schedule,target,block_bytes,vector_width,mu,delta,delta_numa,delta_max,mu_delta,mu_delta_numa,l1_ratio,beta,alpha,gamma,P_NUMA,T
90,2,0,0,uniform,omp_for,gpu_warp32,128,32,141.650391,36.981133,36.809221,3337.869960,5238.391980,5214.040493,0.000000,0.6000,0.4000,0.0500,4,230400
90,1,0,0,normal_var1,omp_collapse2,cpu_avx512,64,8,24.962016,205.683227,203.275452,4948.235608,5134.268015,5074.165089,0.000000,0.6000,0.4000,0.0500,4,921600
90,2,0,0,uniform,omp_for,gpu_scalar,128,1,4.497852,1023.145366,1023.109092,2248.404169,4601.955983,4601.792827,0.000000,0.6000,0.4000,0.0500,4,7372800
90,2,0,0,sequential,omp_for,gpu_scalar,128,1,2.561829,992.660093,992.618502,2180.117378,2543.025031,2542.918480,0.000000,0.6000,0.4000,0.0500,4,7372800
90,1,0,0,exact,omp_for,cpu_scalar,64,1,1.802433,39.065603,38.989672,248.031681,70.413142,70.276282,0.000000,0.6000,0.4000,0.0500,4,11059200
90,2,0,0,uniform,omp_for,cpu_avx512,64,8,39.927930,255.546216,255.369758,5671.869044,10203.431364,10196.385728,0.000000,0.6000,0.4000,0.0500,4,921600
90,1,0,0,uniform,omp_collapse2,gpu_scalar,128,1,4.497852,1023.767818,1012.941386,2272.696614,4604.755679,4556.059994,0.000000,0.6000,0.4000,0.0500,4,7372800
90,2,0,0,normal_var4,omp_collapse2,gpu_scalar,128,1,2.632434,971.903961,961.608310,2141.941274,2558.473374,2531.370751,0.000000,0.6000,0.4000,0.0500,4,7372800
90,2,0,0,normal_var4,omp_collapse2,cpu_avx512,64,8,24.966020,203.933511,201.515015,4539.808484,5091.408098,5031.027899,0.000000,0.6000,0.4000,0.0500,4,921600
90,4,0,0,uniform,omp_collapse2,cpu_scalar,64,1,7.624927,104010.797857,88503.190403,228692.247289,793074.715681,674830.344654,0.000000,0.6000,0.4000,0.0500,4,7372800
90,3,0,0,normal_var4,omp_for,cpu_avx512,64,8,7.259949,5717.971989,1638.162296,93880.054001,41512.197138,11892.493673,0.000000,0.6000,0.4000,0.0500,4,901120
90,3,0,0,normal_var4,omp_for,gpu_warp32,128,32,16.766290,14002.678513,4015.004024,53225.692977,234773.166300,67314.320823,0.000000,0.6000,0.4000,0.0500,4,163840
90,1,0,0,sequential,omp_collapse2,cpu_scalar,64,1,3.124744,1837.002557,1817.567064,4140.228244,5740.162579,5679.431639,0.000000,0.6000,0.4000,0.0500,4,7372800
90,3,0,0,normal_var4,omp_for,gpu_scalar,128,1,0.467655,583.153074,167.220300,15525.518933,272.714863,78.196737,0.000000,0.6000,0.4000,0.0500,4,7372800
90,2,0,0,normal_var4,omp_for,cpu_scalar,64,1,3.267627,1757.684981,1757.606487,3872.992930,5743.458818,5743.202331,0.000000,0.6000,0.4000,0.0500,4,7372800
90,4,0,0,exact,omp_collapse2,gpu_scalar,128,1,5.784904,374.019931,253.722475,1043.361135,2163.669468,1467.760163,0.000000,0.6000,0.4000,0.0500,4,11059200
90,4,0,0,normal_var4,omp_collapse2,gpu_scalar,128,1,6.783777,29057.367616,19836.957891,64053.754929,197118.697738,134569.497199,0.000000,0.6000,0.4000,0.0500,4,7372800
90,1,0,0,sequential,omp_for,cpu_scalar,64,1,3.124744,1837.001118,1836.932274,4140.226889,5740.157582,5739.942464,0.000000,0.6000,0.4000,0.0500,4,7372800
90,2,0,0,normal_var1,omp_collapse2,cpu_scalar,64,1,3.169593,1823.212321,1803.901870,4020.117142,5778.840197,5717.633938,0.000000,0.6000,0.4000,0.0500,4,7372800
90,3,0,0,uniform,omp_collapse2,gpu_scalar,128,1,7.312427,53509.816047,36527.614777,117662.735146,391286.610666,267105.507689,0.000000,0.6000,0.4000,0.0500,4,7372800
90,3,0,0,normal_var1,omp_collapse2,cpu_scalar,64,1,6.923684,58203.952125,49520.626126,128473.054125,402985.753299,342865.151059,0.000000,0.6000,0.4000,0.0500,4,7372800
90,3,0,0,sequential,omp_collapse2,cpu_scalar,64,1,6.624976,60602.771496,51564.790712,133228.803123,401491.881600,341615.479558,0.000000,0.6000,0.4000,0.0500,4,7372800
90,4,0,0,normal_var4,omp_for,cpu_scalar,64,1,0.896909,1054.847772,302.802699,45034.403280,946.103012,271.577054,0.000000,0.6000,0.4000,0.0500,4,7372800
90,3,0,0,normal_var4,omp_collapse2,gpu_warp32,128,32,198.246194,1301.464500,889.530659,109596.038896,258010.383091,176346.066562,0.000000,0.6000,0.4000,0.0500,4,230400
90,1,0,0,normal_var1,omp_for,cpu_scalar,64,1,3.169592,1825.237732,1825.171963,4128.737532,5785.259433,5785.050972,0.000000,0.6000,0.4000,0.0500,4,7372800
90,3,0,0,normal_var1,omp_collapse2,gpu_warp32,128,32,198.907895,1304.167635,891.493540,109230.749700,259409.238953,177325.102822,0.000000,0.6000,0.4000,0.0500,4,230400
90,4,0,0,normal_var1,omp_for,cpu_scalar,64,1,0.895210,1111.291735,320.870022,45060.156116,994.838216,287.246908,0.000000,0.6000,0.4000,0.0500,4,7372800
90,2,0,0,normal_var1,omp_for,cpu_scalar,64,1,3.169592,1823.210813,1823.132110,4020.114882,5778.834926,5778.585469,0.000000,0.6000,0.4000,0.0500,4,7372800
90,4,0,0,normal_var1,omp_for,cpu_avx512,64,8,7.251012,5772.284993,1666.131851,94153.795519,41854.891303,12081.163091,0.000000,0.6000,0.4000,0.0500,4,901120
90,2,0,0,normal_var4,omp_for,gpu_scalar,128,1,2.632434,971.903058,971.863825,2141.940088,2558.470734,2558.367457,0.000000,0.6000,0.4000,0.0500,4,7372800
90,2,0,0,normal_var1,omp_collapse2,gpu_warp32,128,32,80.873455,32.822143,32.180659,2926.180395,2654.440095,2602.561052,0.000000,0.6000,0.4000,0.0500,4,230400
90,1,0,0,normal_var1,omp_for,gpu_warp32,128,32,80.873437,32.706831,32.478941,3052.601910,2645.113881,2626.683566,0.000000,0.6000,0.4000,0.0500,4,230400
90,1,0,0,exact,omp_for,gpu_scalar,128,1,1.011410,21.408071,21.369539,76.867057,21.652327,21.613355,0.000000,0.6000,0.4000,0.0500,4,11059200
90,1,0,0,exact,omp_collapse2,cpu_scalar,64,1,1.802434,39.066780,38.803315,248.032796,70.415275,69.940389,0.000000,0.6000,0.4000,0.0500,4,11059200
90,1,0,0,sequential,omp_for,gpu_warp32,128,32,80.851172,32.848824,32.619543,3052.327809,2655.865918,2637.328287,0.000000,0.6000,0.4000,0.0500,4,230400
90,1,0,0,sequential,omp_collapse2,gpu_scalar,128,1,2.561829,993.171553,982.658648,2207.964133,2544.335572,2517.403309,0.000000,0.6000,0.4000,0.0500,4,7372800
90,2,0,0,normal_var4,omp_for,cpu_avx512,64,8,24.966016,203.922995,203.654251,4539.793184,5091.144688,5084.435205,0.000000,0.6000,0.4000,0.0500,4,921600
90,1,0,0,normal_var1,omp_for,cpu_avx512,64,8,24.962012,205.673777,205.440822,4948.222382,5134.031230,5128.216213,0.000000,0.6000,0.4000,0.0500,4,921600
90,2,0,0,normal_var1,omp_for,cpu_avx512,64,8,24.962012,204.437792,204.168993,4538.778822,5103.178553,5096.468803,0.000000,0.6000,0.4000,0.0500,4,921600
90,2,0,0,normal_var1,omp_for,gpu_warp32,128,32,80.873437,32.799762,32.505676,2926.149525,2652.629524,2628.845732,0.000000,0.6000,0.4000,0.0500,4,230400
90,2,0,0,uniform,omp_collapse2,cpu_scalar,64,1,4.998914,1955.808142,1935.090256,4299.736473,9776.915868,9673.348947,0.000000,0.6000,0.4000,0.0500,4,7372800
90,3,0,0,exact,omp_for,gpu_warp32,128,32,16.573547,164.210012,96.282089,1055.908734,2721.473259,1595.583582,0.000000,0.6000,0.4000,0.0500,4,245760
90,2,0,0,uniform,omp_collapse2,gpu_warp32,128,32,141.650417,37.003191,36.435647,3337.901868,5241.517493,5161.124552,0.000000,0.6000,0.4000,0.0500,4,230400
90,1,0,0,uniform,omp_for,gpu_scalar,128,1,4.497852,1023.767144,1023.737181,2272.695994,4604.752649,4604.617879,0.000000,0.6000,0.4000,0.0500,4,7372800
90,2,0,0,uniform,omp_collapse2,gpu_scalar,128,1,4.497852,1023.146268,1012.320595,2248.405007,4601.960041,4553.267772,0.000000,0.6000,0.4000,0.0500,4,7372800
90,3,0,0,uniform,omp_collapse2,cpu_avx512,64,8,60.992969,15092.341809,12843.704817,335399.930719,920526.732368,783375.686543,0.000000,0.6000,0.4000,0.0500,4,921600
90,2,0,0,uniform,omp_collapse2,cpu_avx512,64,8,39.927930,255.558335,252.689398,5671.886602,10203.915216,10089.364501,0.000000,0.6000,0.4000,0.0500,4,921600
90,3,0,0,uniform,omp_for,cpu_scalar,64,1,0.915274,1844.571335,531.862140,89058.504619,1688.287910,486.799511,0.000000,0.6000,0.4000,0.0500,4,7372800
90,3,0,0,exact,omp_for,cpu_avx512,64,8,7.315813,71.069274,41.703950,1946.707625,519.939817,305.108707,0.000000,0.6000,0.4000,0.0500,4,1351680
90,4,0,0,normal_var1,omp_collapse2,cpu_scalar,64,1,6.923684,58063.888843,49401.489881,128062.408062,402015.999441,342040.289377,0.000000,0.6000,0.4000,0.0500,4,7372800
