id,cv,cv_IC,ch,ch_IC,f,f_IC,s,s_IC,n,n_IN,lm,lm_IC
108,V1,h_first,V2,h_first,V2,h_first,V1,h_first,V1,SoA,V1,h_first
109,V1,h_first,V2,h_first,V2,h_first,V1,h_first,V1,SoA,V2,h_first
110,V1,h_first,V2,h_first,V2,h_first,V1,h_first,V1,SoA,V6,v_first
111,V1,h_first,V2,h_first,V2,h_first,V1,h_first,V2,AoS,V1,h_first
112,V1,h_first,V2,h_first,V2,h_first,V1,h_first,V2,AoS,V2,h_first
113,V1,h_first,V2,h_first,V2,h_first,V1,h_first,V2,AoS,V6,v_first
114,V1,h_first,V2,h_first,V2,h_first,V1,h_first,V6,AoS,V1,h_first
115,V1,h_first,V2,h_first,V2,h_first,V1,h_first,V6,AoS,V2,h_first
116,V1,h_first,V2,h_first,V2,h_first,V1,h_first,V6,AoS,V6,v_first
117,V1,h_first,V2,h_first,V2,h_first,V2,h_first,V1,SoA,V1,h_first
118,V1,h_first,V2,h_first,V2,h_first,V2,h_first,V1,SoA,V2,h_first
119,V1,h_first,V2,h_first,V2,h_first,V2,h_first,V1,SoA,V6,v_first
120,V1,h_first,V2,h_first,V2,h_first,V2,h_first,V2,AoS,V1,h_first
121,V1,h_first,V2,h_first,V2,h_first,V2,h_first,V2,AoS,V2,h_first
122,V1,h_first,V2,h_first,V2,h_first,V2,h_first,V2,AoS,V6,v_first
123,V1,h_first,V2,h_first,V2,h_first,V2,h_first,V6,AoS,V1,h_first
124,V1,h_first,V2,h_first,V2,h_first,V2,h_first,V6,AoS,V2,h_first
125,V1,h_first,V2,h_first,V2,h_first,V2,h_first,V6,AoS,V6,v_first
126,V1,h_first,V2,h_first,V2,h_first,V6,v_first,V1,SoA,V1,h_first
127,V1,h_first,V2,h_first,V2,h_first,V6,v_first,V1,SoA,V2,h_first
128,V1,h_first,V2,h_first,V2,h_first,V6,v_first,V1,SoA,V6,v_first
129,V1,h_first,V2,h_first,V2,h_first,V6,v_first,V2,AoS,V1,h_first
130,V1,h_first,V2,h_first,V2,h_first,V6,v_first,V2,AoS,V2,h_first
131,V1,h_first,V2,h_first,V2,h_first,V6,v_first,V2,AoS,V6,v_first
132,V1,h_first,V2,h_first,V2,h_first,V6,v_first,V6,AoS,V1,h_first
133,V1,h_first,V2,h_first,V2,h_first,V6,v_first,V6,AoS,V2,h_first
134,V1,h_first,V2,h_first,V2,h_first,V6,v_first,V6,AoS,V6,v_first
135,V1,h_first,V2,h_first,V6,v_first,V1,h_first,V1,SoA,V1,h_first
136,V1,h_first,V2,h_first,V6,v_first,V1,h_first,V1,SoA,V2,h_first
137,V1,h_first,V2,h_first,V6,v_first,V1,h_first,V1,SoA,V6,v_first
138,V1,h_first,V2,h_first,V6,v_first,V1,h_first,V2,AoS,V1,h_first
139,V1,h_first,V2,h_first,V6,v_first,V1,h_first,V2,AoS,V2,h_first
140,V1,h_first,V2,h_first,V6,v_first,V1,h_first,V2,AoS,V6,v_first
141,V1,h_first,V2,h_first,V6,v_first,V1,h_first,V6,AoS,V1,h_first
142,V1,h_first,V2,h_first,V6,v_first,V1,h_first,V6,AoS,V2,h_first
143,V1,h_first,V2,h_first,V6,v_first,V1,h_first,V6,AoS,V6,v_first
144,V1,h_first,V2,h_first,V6,v_first,V2,h_first,V1,SoA,V1,h_first
145,V1,h_first,V2,h_first,V6,v_first,V2,h_first,V1,SoA,V2,h_first
146,V1,h_first,V2,h_first,V6,v_first,V2,h_first,V1,SoA,V6,v_first
147,V1,h_first,V2,h_first,V6,v_first,V2,h_first,V2,AoS,V1,h_first
148,V1,h_first,V2,h_first,V6,v_first,V2,h_first,V2,AoS,V2,h_first
149,V1,h_first,V2,h_first,V6,v_first,V2,h_first,V2,AoS,V6,v_first
150,V1,h_first,V2,h_first,V6,v_first,V2,h_first,V6,AoS,V1,h_first
151,V1,h_first,V2,h_first,V6,v_first,V2,h_first,V6,AoS,V2,h_first
152,V1,h_first,V2,h_first,V6,v_first,V2,h_first,V6,AoS,V6,v_first
153,V1,h_first,V2,h_first,V6,v_first,V6,v_first,V1,SoA,V1,h_first
154,V1,h_first,V2,h_first,V6,v_first,V6,v_first,V1,SoA,V2,h_first
155,V1,h_first,V2,h_first,V6,v_first,V6,v_first,V1,SoA,V6,v_first
156,V1,h_first,V2,h_first,V6,v_first,V6,v_first,V2,AoS,V1,h_first
157,V1,h_first,V2,h_first,V6,v_first,V6,v_first,V2,AoS,V2,h_first
158,V1,h_first,V2,h_first,V6,v_first,V6,v_first,V2,AoS,V6,v_first
159,V1,h_first,V2,h_first,V6,v_first,V6,v_first,V6,AoS,V1,h_first
160,V1,h_first,V2,h_first,V6,v_first,V6,v_first,V6,AoS,V2,h_first
161,V1,h_first,V2,h_first,V6,v_first,V6,v_first,V6,AoS,V6,v_first
162,V1,h_first,V6,v_first,V1,h_first,V1,h_first,V1,SoA,V1,h_first
163,V1,h_first,V6,v_first,V1,h_first,V1,h_first,V1,SoA,V2,h_first
164,V1,h_first,V6,v_first,V1,h_first,V1,h_first,V1,SoA,V6,v_first
165,V1,h_first,V6,v_first,V1,h_first,V1,h_first,V2,AoS,V1,h_first
166,V1,h_first,V6,v_first,V1,h_first,V1,h_first,V2,AoS,V2,h_first
167,V1,h_first,V6,v_first,V1,h_first,V1,h_first,V2,AoS,V6,v_first
168,V1,h_first,V6,v_first,V1,h_first,V1,h_first,V6,AoS,V1,h_first
169,V1,h_first,V6,v_first,V1,h_first,V1,h_first,V6,AoS,V2,h_first
170,V1,h_first,V6,v_first,V1,h_first,V1,h_first,V6,AoS,V6,v_first
171,V1,h_first,V6,v_first,V1,h_first,V2,h_first,V1,SoA,V1,h_first
172,V1,h_first,V6,v_first,V1,h_first,V2,h_first,V1,SoA,V2,h_first
173,V1,h_first,V6,v_first,V1,h_first,V2,h_first,V1,SoA,V6,v_first
174,V1,h_first,V6,v_first,V1,h_first,V2,h_first,V2,AoS,V1,h_first
175,V1,h_first,V6,v_first,V1,h_first,V2,h_first,V2,AoS,V2,h_first
176,V1,h_first,V6,v_first,V1,h_first,V2,h_first,V2,AoS,V6,v_first
177,V1,h_first,V6,v_first,V1,h_first,V2,h_first,V6,AoS,V1,h_first
178,V1,h_first,V6,v_first,V1,h_first,V2,h_first,V6,AoS,V2,h_first
179,V1,h_first,V6,v_first,V1,h_first,V2,h_first,V6,AoS,V6,v_first
180,V1,h_first,V6,v_first,V1,h_first,V6,v_first,V1,SoA,V1,h_first
